Nama Usaha,Nama Pemilik,Komoditi,Alamat,Kecamatan,Desa,Sektor Usaha,KTP,Email,Tahun Mulai,No Telp,NPWP,Jumlah Karyawan,Aset,Omzet,Sertifikat,Wilayah
Nining,Nining,Makanan Ringan,Kp Ciwaruga RT 03/06 ,Parongpong,Cigugur Girang,3,3202080205090044,nining@gmail.com,2016,085221220200,ada,2,45000000,254000000,1, Lintas Kota
Ai Reni,Ai Reni,Warungan,Kp Ciwaruga RT 03/06,Parongpong,Cigugur Girang,3,3202080205090045,reni@gmail.com,2017,082126274471,ada,1,20000000,78000000,1, Lintas Kota
Ati Sumiati,Ati Sumiati,Perdagangan Sembako,Kp Ciwaruga RT 03/06,Parongpong,Ciwaruga,3,3202080205090046,sumiati@gmail.com,2017,082111547885,ada,2,20000000,78000000,1, Lintas Kota
Winda,Winda,Sayuran & Klontongan,Kp Ciwaruga RT 03/06 ,Parongpong,Cigugur Girang,3,3202080205090047,winda@gmail.com,2016,08978831421,ada,3,20000000,390000000,1, Lintas Kota
Rini,Rini,"Gas,Aqua ,Warung Nasi",Kp Ciwaruga RT 01/06 ,Parongpong,Ciwaruga,3,3202080205090048,rini@gmail.com,2017,082218632577,ada,1,15000000,227000000,1, Lintas Kota
Neng Ima,Neng Ima,Warungan Pertanian,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090049,ima@gmail.com,2016,085722848757,ada,2,8000000,254000000,1, Lintas Kota
Dewi Nurmayanti,Dewi Nurmayanti,Sembako,Kp Ciwaruga,Parongpong,Ciwaruga,3,3202080205090050,nurmayanti@gmail.com,2016,085222181352,ada,2,15000000,109000000,1, Lintas Kota
Lina Marlina,Lina Marlina,Kelontong,Kp Ciwaruga,Parongpong,Ciwaruga,3,3202080205090051,marlina@gmail.com,2014,089525853361,ada,1,20000000,109000000,1, Lintas Kota
Sri Rohayani,Sri Rohayani,Sembako,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090052,rohayani@gmail.com,2015,082120251663,ada,1,20000000,182000000,1, Lintas Kota
Eem Muryati,Eem Muryati,Sembako,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090053,muryati@gmail.com,2015,082117054444,ada,5,20000000,91000000,1, Lintas Kota
Ika,Ika,kelontong,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090054,ika@gmail.com,2016,081224706679,ada,4,45000000,182000000,1, Lintas Kota
Lusi Hayani,Lusi Hayani,Sembako,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090055,hayani@gmail.com,2016,087722818699,ada,1,35000000,364000000,1, Lintas Kota
Ibu Karyani,Ibu Karyani,Sembako,Kp Ciwaruga ,Parongpong,Cigugur Girang,3,3202080205090056,karyani@gmail.com,2015,087823662226,ada,2,20000000,254800000,1, Lintas Kota
Dedeh Karyani,Dedeh Karyani,Pakan Burung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090057,karyani@gmail.com,2016,08156025198,ada,1,20000000,78000000,1, Lintas Kota
Tarmini,Tarmini,Buah2an,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090058,tarmini@gmail.com,2015,082262261899,ada,1,15000000,78000000,1, Lintas Kota
Dadang,Dadang,Sembako+Jajanan,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090059,dadang@gmail.com,2013,082214127021,ada,1,20000000,173000000,1, Lintas Kota
Ayun,Ayun,Sembako,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090060,ayun@gmail.com,2014,083195556768,tidak,1,25000000,254800000,1, Lintas Kota
Neng Mayanti,Neng Mayanti,Sembako,Kp Cigugur ,Parongpong,Cigugur Girang,3,3202080205090061,mayanti@gmail.com,2013,02276585645,ada,1,20000000,78000000,1, Lintas Kota
Ujang Tarcaya,Ujang Tarcaya,Jajanan,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090062,tarcaya@gmail.com,2014,,tidak,3,45000000,78000000,1, Lintas Kota
Tajudin,Tajudin,Warung,Kp Cigugur,Parongpong,Cihanjuang,3,3202080205090063,tajudin@gmail.com,2014,087822275682,ada,2,20000000,273000000,1, Lintas Kota
Herawati,Herawati,Warung,Kp Cigugur,Parongpong,Sariwangi,3,3202080205090064,herawati@gmail.com,2015,(022) 6900656,ada,1,20000000,182000000,1, Lintas Kota
Ikah,Ikah,Warung,Kp Cigugur,Parongpong,Sariwangi,3,3202080205090065,ikah@gmail.com,2014,,ada,2,20000000,36400000,1, Lintas Kota
Kadi,Kadi,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090066,kadi@gmail.com,2013,08812217140,ada,2,15000000,163000000,1, Lintas Kota
Sulastri,Sulastri,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090067,sulastri@gmail.com,2013,,ada,2,8000000,197600000,1, Lintas Kota
Sutarya,Sutarya,Dagang Keliling,Komp.Bumi Hanjuang No.F5,Parongpong,Cigugur Girang,3,3202080205090068,sutarya@gmail.com,2017,08132209343,tidak,1,15000000,78000000,1, Lintas Kota
Eros,Eros,Asongan,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090069,eros@gmail.com,2016,081809927406,tidak,2,20000000,78000000,1, Lintas Kota
Wiwih Winarti,Wiwih Winarti,Pulsa,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090070,winarti@gmail.com,2017,,ada,3,20000000,254800000,1, Lintas Kota
Yeti Mulyasari,Yeti Mulyasari,Warung,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090071,mulyasari@gmail.com,2017,022-6900578,ada,2,20000000,546000000,1, Lintas Kota
Siti Kulsum,Siti Kulsum,Warung,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090072,kulsum@gmail.com,2016,,tidak,1,45000000,208000000,1, Lintas Kota
Erni,Erni,Warung,Kp Ciwaruga ,Parongpong,Cigugur Girang,3,3202080205090073,erni@gmail.com,2015,0817214009,ada,1,35000000,254000000,1, Lintas Kota
Ria,Ria,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090074,ria@gmail.com,2015,085295344932,ada,1,20000000,78000000,1, Lintas Kota
Wida,Wida,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090075,wida@gmail.com,2017,085220395191,ada,2,20000000,78000000,1, Lintas Kota
Eneng,Eneng,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090076,eneng@gmail.com,2015,081573428314,ada,3,15000000,390000000,1, Lintas Kota
Maman S,Maman S,Pulsa,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090077,s@gmail.com,2016,085722741929,ada,2,20000000,227000000,1, Lintas Kota
Udin S,Udin S,Warung,Kp Cigugur ,Parongpong,Cigugur Girang,3,3202080205090078,s@gmail.com,2015,082115299579,tidak,2,25000000,254000000,1, Lintas Kota
Dadang Budi,Dadang Budi,Kantin,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090079,budi@gmail.com,2016,081325573435,ada,1,20000000,109000000,1, Lintas Kota
Alit Juhana,Alit Juhana,Warung,Kp Cigugur,Parongpong,Cihanjuang,3,3202080205090080,juhana@gmail.com,2015,087821345053,tidak,2,45000000,109000000,1, Lintas Kota
Tita Suciawati,Tita Suciawati,Warung,Kp Cigugur,Parongpong,Sariwangi,3,3202080205090081,suciawati@gmail.com,2013,08756462122,ada,3,20000000,182000000,1, Lintas Kota
Yayat,Yayat,Warung,Kp Cigugur,Parongpong,Sariwangi,3,3202080205090082,yayat@gmail.com,2014,081809611783,tidak,2,20000000,91000000,1, Lintas Kota
Iyat Ruhiat,Iyat Ruhiat,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090083,ruhiat@gmail.com,2013,081394609712,ada,1,20000000,182000000,1, Lintas Kota
Mama S,Mama S,Pulsa,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090084,s@gmail.com,2014,087822087215,tidak,1,15000000,364000000,1, Lintas Kota
Kel. Toko Ilham,Neni Puspa Anggraeni,Warung,Komp.Bumi Hanjuang No.F5,Parongpong,Cigugur Girang,3,3202080205090085,neni puspa anggraeni@gmail.com,2014,085220395191,ada,1,8000000,120000000,1, Lintas Kota
Kel. Tunas Mandiri,Yeyet Sri Mulyanawati,Asongan,Kp. Sukamaju RT 01/05,Parongpong,Cigugur Girang,3,3202080205090086,yeyet sri mulyanawati@gmail.com,2015,081573428314,tidak,2,15000000,78000000,1, Lintas Kota
Kel.Himpunan Bensin Eceran,Ajang Tatang,Warung,Kp. Tutugan Rt/Rw 02/04,Parongpong,Cihanjuang Rahayu,3,3202080205090087,ajang tatang@gmail.com,2014,085722741929,tidak,3,20000000,78000000,1, Lintas Kota
Moro Seneuk,Ade Wahyudin,Warung,Jl.Ciwaruga Rt03/02,Parongpong,,3,3202080205090088,seneuk@gmail.com,2013,082115299579,tidak,2,20000000,273000000,1, Lintas Kota
Kube Mandiri Berkah,Ilham Maulana,Asongan,Kp. Sukamaju RT 01/05,Parongpong,Cigugur Girang,3,3202080205090089,ilham maulana@gmail.com,2013,081325573435,tidak,3,20000000,182000000,1, Lintas Kota
Asep Bagja,Djadja,Warung,Kp. Sariwangi Rt/Rw 04/09,Parongpong,Cigugur Girang,3,3202080205090090,bagja@gmail.com,2017,085295344932,ada,4,45000000,364000000,1, Lintas Kota
Maju Sejahtera,AEP TEDI,Pertanian,Kp. Sukamaju RW 05 Ditas Raya ,Parongpong,Cigugur Girang,4,3217020710090001,aep@gmail.com,2014,08554423482,ada,2,30000000,254800000,1,pasar
Budidaya Jamur Tiram,Dadan Darmawan,Jamur Tiram,,Parongpong,Karyawangi RT 02 RW 07,4,3217020710090002,dadan@gmail.com,2015,085222337488,ada,2,25000000,78000000,1,pasar
Luwalam,Adeng,Bunga,Waruga Jaya,Parongpong,,4,3217020710090003,adeng@gmail.com,2014,081395342862,ada,1,30000000,78000000,1,pasar
UMKM Brokoli,ASEP RAHMAT,Sayuran,Ds. Karyawangi Kec. Parongpong Kab. Bandung Barat,Parongpong,Karyawangi,4,3217020710090004,Asep@gmail.com,2013,081384609984,ada,2,35000000,273000000,1,pasar
Jaka Florist,Alit ,Bunga,Kp. Cihideung RT 01 RW 06,Parongpong,Cihideung,4,3217020710090005,alit@gmail.com,2014,0812347865,ada,3,20000000,182000000,1,pasar
Gaos Flower,Edi Rinadi,Bunga Potong Hias,Kp.Panyairan RT 01/11 ,Parongpong,Cihideung,4,3217020710090006,Edi@gmail.com,2014,0814567824133,ada,2,35000000,36400000,1,pasar
petani bunga potong,Nandang R,Bunga potong,Kp.Sukamulus Cigugur ,Parongpong,Cigugur Girang,4,3217020710090007,Nandang@gmail.com,2015,0226348249,ada,1,35000000,163000000,1,pasar
Kelompok Pedagang Bunga dan Tanaman Hias,AGUS SATRIADI,Tanaman Hias,Kp.Cihideng RT 2 RW 6,Parongpong,Cihideung ,4,3217020710090008,Agus@gmail.com,2014,0226348449,ada,1,29000000,197600000,1,pasar
Fuji Jamur,Fuji,Jamur Tiram,Kanlah 02/16,Parongpong,Cihideung,4,3217020710090009,fuji@gmail.com,2013,0446348449,ada,1,35000000,78000000,1,pasar
Kelompok Usaha Warung Tani Budi Jaya,Engker,Alat Pupuk Dan Obat-obatan Pertanian,Kp.Sukamaju RT 01/RW 05,Parongpong,Cigugurgirang,4,3217020710090010,engker@gmail.com,2014,085221045570,ada,2,30000000,78000000,1,pasar
Kelompok Usaha Tani Bunga Gerbera,Cundi Surdia,Bunga Hias,Kp.Sukamaju RT 04/RW 05,Parongpong,Cigugurgirang,4,3217020710090011,cundi@gmail.com,2014,0226348649,ada,3,35000000,254800000,1,pasar
Dede,Dede,Sayuran ,Kp Ciwaruga RT 03/06,Parongpong,Cigugur Girang,4,3217020710090012,dede@gmail.com,2015,0226348749,ada,2,30000000,546000000,1,pasar
Kokom,Kokom,Bunga,Kp Ciwaruga RT 03/06 ,Parongpong,Cigugur Girang,4,3217020710090013,kokom@gmail.com,2014,0226348849,ada,2,35000000,208000000,1,pasar
Carmini,Carmini,Sayur,Kp Ciwaruga RT 03/06 ,Parongpong,Cigugur Girang,4,3217020710090014,camini@gmail.com,2017,0226658050,ada,1,20000000,254000000,1,pasar
Waryati,Waryati,Sayuran,Kp Ciwaruga RT 02/06,Parongpong,Cigugur Girang,4,3217020710090015,waryanti@gmail.com,2015,02263481049,ada,2,35000000,78000000,1,pasar
Caca,Caca,Bunga,Kp Ciwaruga RT 03/06 ,Parongpong,Cihanjuang Rahayu,4,3217020710090016,caca@gmail.com,2018,081221576488,ada,3,35000000,78000000,1,pasar
Dadang,Dadang,Bunga,Kp Ciwaruga RT 03/06 ,Parongpong,,4,3217020710090017,dadang@gmail.com,2016,081221818033,tidak,2,29000000,390000000,1,pasar
Cici S,Cici S,Sayuran,Kp Ciwaruga RT 03/06 ,Parongpong,Cigugur Girang,4,3217020710090018,cici@gmail.com,2017,081320650757,ada,1,30000000,227000000,1,pasar
Rojali,Rojali,Sayuran,Kp Ciwaruga RT 03/06 ,Parongpong,Cihanjuang,4,3217020710090019,rojali@gmail.com,2017,081395434327,tidak,1,25000000,254000000,1,pasar
Mimin,Mimin,Sayuran,Kp Ciwaruga RT 03/06 ,Parongpong,Karyawangi,4,3217020710090020,mimin@gmail.com,2016,08156203553,ada,1,30000000,109000000,1,pasar
Rina,Rina,Sayuran,Kp Ciwaruga RT 03/06 ,Parongpong,Cihanjuang,4,3217020710090021,rina@gmail.com,2017,08156203553,ada,2,35000000,109000000,1,pasar
Tuti Srimulyati,Tuti Srimulyati,Sayuran ,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090022,tuti@gmail.com,2016,08179210169,ada,3,20000000,182000000,1,pasar
Arifin,Arifin,Sayuran,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090023,arifin@gmail.com,2016,0181863481849,ada,2,35000000,91000000,1,pasar
Eman Sulaeman,Eman Sulaeman,Sayuran,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090024,eman@gmail.com,2014,081321195430,ada,3,35000000,182000000,1,pasar
Jaenudin,Jaenudin,Sayuran,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090025,jaenudin@gmail.com,2015,082115553989,tidak,4,29000000,364000000,1,pasar
Tani Makmur,Dodi Supriatna,Pertanian,Kp. Sukamaju RT 01/05,Parongpong,Ciwaruga,4,3217020710090026,dodi@gmail.com,2015,087821720238,tidak,5,35000000,254800000,1,pasar
Bibit Tani,Dadan Kustiwa,Jamur Tiram,Kp. Sukamaju RT 01/05,Parongpong,Cihanjuang,4,3217020710090027,dadan@gmail.com,2016,0222263482249,ada,6,40000000,78000000,1,pasar
Tani Maju Jaya,Ayi ,Bunga,Kp. Sukamaju RT 01/05,Parongpong,Cigugur Girang,4,3217020710090028,ayi@gmail.com,2016,081324069292,ada,6,50000000,78000000,1,pasar
Kios Sayuran,Sendi Rianti,Sayuran,Kp. Sukamaju RT 01/05,Parongpong,Cigugur Girang,4,3217020710090029,sendi@gmail.com,2015,085221220200,tidak,8,30000000,273000000,1,pasar
Kios Salma,Umar,Bunga,Kp. Tutugan Rt/Rw 02/04,Parongpong,Cihanjuang Rahayu,4,3217020710090030,ano@gmail.com,2016,082126274471,ada,9,25000000,182000000,1,pasar
Binangkit,Ano,Bunga Potong Hias,Jl.Ciwaruga Rt03/02,Parongpong,Cigugur Girang,4,3217020710090031,cepi@gmail.com,2015,081324069292,ada,4,30000000,36400000,1,pasar
Putri Tunggal,Cepi Supriadi,Bunga potong,Kp. Sukamaju RT 01/05,Parongpong,Cigugur Girang,4,3217020710090032,sunarno@gmail.com,2013,085221220200,ada,2,35000000,163000000,1,pasar
Berdikari,Sumarno,Tanaman Hias,Kp. Sariwangi Rt/Rw 04/09,Parongpong,Cigugur Girang,4,3217020710090033,sunarno@gmail.com,2014,082126274471,ada,4,20000000,300000000,1,pasar
Jualan Sayuran,Mimin,Jamur Tiram,Jln.Ciwaruga No.72 Rt 02/02,Parongpong,Cihanjuang Rahayu,4,3217020710090034,mimin@gmail.com,2013,082111547885,ada,3,35000000,250000000,1,pasar
Myrta,Myrta Ceae Rasika,Alat Pupuk Dan Obat-obatan Pertanian,Jl.Waruga jaya,Parongpong,Cigugur Girang,4,3217020710090035,myrta@gmail.com,2014,08978831421,tidak,4,35000000,100000000,1,pasar
Bunga Potong,Eman,Bunga Hias,Kp.Sukamaju RT 01/RW 05,Parongpong,Cigugur Girang,4,3217020710090036,eman@gmail.com,2014,082218632577,ada,4,29000000,300000000,1,pasar
Sayur,Kartiwa,Sayuran ,Kp Ciwaruga RT 03/06 ,Parongpong,Cigugur Girang,4,3217020710090037,kartiwa@gmail.com,2015,085722848757,tidak,4,35000000,300000000,1,pasar
Sayur,Ayi Suyana,Bunga,Kp Ciwaruga RT 03/06,Parongpong,Karyawangi,4,3217020710090038,ayi@gmail.com,2014,085222181352,ada,3,35000000,250000000,1,pasar
Wrs ,Witarsa,Sayur,Kp Ciwaruga RT 03/06,Parongpong,Cihanjuang,4,3217020710090039,witarsa@gmail.com,2013,089525853361,tidak,5,20000000,300000000,1,pasar
Tani Sayuran,Suparman,Sayuran,Kp Ciwaruga RT 03/06 ,Parongpong,Ciwaruga,4,3217020710090040,superman@gmail.com,2013,082120251663,ada,3,35000000,100000000,1,pasar
Boemi nurseri,Rachmat,Bunga,Kp Ciwaruga RT 01/06 ,Parongpong,Ciwaruga,4,3217020710090041,rachmat@gmail.com,2017,082117054444,tidak,4,35000000,100000000,1,pasar
Kios pupuk ,Indah,Bunga,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090042,indah@gmail.com,2016,081224706679,ada,5,29000000,100000000,1,pasar
Iron Sayur,David Kurniawan,Sayuran,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090043,david@gmail.com,2017,087722818699,tidak,6,35000000,100000000,1,pasar
Dedi SDL,Dedi Rusmana,Sayuran,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090044,dedi@gmail.com,2017,087823662226,ada,3,35000000,300000000,1,pasar
Barokah,Agus Rohimat,Sayuran,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090045,barokah@gmail.com,2016,08156025198,ada,4,20000000,300000000,1,pasar
Mandiri,Tatang Ruhiat,Sayuran,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090046,mandiri@gmail.com,2015,082262261899,ada,5,35000000,250000000,1,pasar
Barokah,Ade Solihin,Sayuran ,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090047,riki@gmail.com,2015,082214127021,ada,6,35000000,100000000,1,pasar
Warung,Riki Nugraha,Sayuran,Kp Ciwaruga,Parongpong,Ciwaruga,4,3217020710090048,amir@gmail.com,2017,083195556768,ada,6,29000000,100000000,1,pasar
Bunga,Amir Saripudin,Sayuran,Kp Ciwaruga ,Parongpong,Ciwaruga,4,3217020710090049,amir@gmail.com,2015,02276585645,ada,8,35000000,100000000,1,pasar
Warung,Cece Purnama,Sayuran,Kp Cigugur,Parongpong,Karyawangi,4,3217020710090050,cece@gmail.com,2016,,ada,9,30000000,100000000,1,pasar
Jual Pupuk,Edih  Saripudin,Pertanian,Kp Cigugur,Parongpong,Cihideung,4,3217020710090051,Edi@gmail.com,2015,087822275682,ada,4,22000000,300000000,1,pasar
Pertanian,Anda Tohaman,Jamur Tiram,Kp Cigugur,Parongpong,Cihideung,4,3217020710090052,anda@gmail.com,2015,(022) 6900656,ada,2,20000000,300000000,1,pasar
Tani,Atikah,Bunga,Kp Cigugur,Parongpong,Cigugur Girang,4,3217020710090053,atikah@gmail.com,2015,,ada,4,50000000,250000000,1,pasar
Sayuran,Aca Hidayat,Sayuran,Kp Cigugur ,Parongpong,Cihideung ,4,3217020710090054,aca@gmail.com,2017,08812217140,ada,3,81000000,300000000,1,pasar
Pertanian,Dadan,Bunga,Kp Cigugur,Parongpong,Cihideung,4,3217020710090055,dadan@gmail.com,2015,087822275682,ada,4,40000000,250000000,1,pasar
UJ Cah Pantes,Lili Anwar,Bunga Potong Hias,Kp Cigugur,Parongpong,Cigugurgirang,4,3217020710090056,Lil@gmail.com,2018,(022) 6900656,ada,4,50000000,300000000,1,pasar
Supiayer Sayur,Apipudin,Bunga potong,Kp Cigugur,Parongpong,Cigugurgirang,4,3217020710090057,Api@gmail.com,2016,,ada,4,30000000,100000000,1,pasar
AH Flowers,A.Hamdan Firdaus,Tanaman Hias,Kp Cigugur,Parongpong,cigugur,4,3217020710090058,A.H@gmail.com,2017,08812217140,ada,3,25000000,78000000,1,pasar
